Geneid,1,2,3,4,5,6,7,8,9,10,11,12
ENSG00000223972,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227232,41,66,63,37,39,50,52,51,34,41,29,39
ENSG00000278267,0,0,0,0,0,0,4,0,1,2,1,0
ENSG00000243485,3,2,0,3,0,0,0,0,1,0,2,0
ENSG00000237613,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268020,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240361,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000186092,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000238009,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000239945,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233750,0,1,0,0,0,0,0,0,1,0,0,1
ENSG00000268903,0,0,0,2,1,0,0,0,0,0,0,0
ENSG00000269981,0,1,2,0,1,0,1,0,0,0,1,1
ENSG00000239906,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241860,4,10,1,5,0,4,3,5,1,5,3,2
ENSG00000222623,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241599,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000279928,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000279457,108,136,102,136,73,98,115,112,97,102,112,82
ENSG00000273874,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228463,8,19,13,13,19,16,9,5,12,10,6,11
ENSG00000241670,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236679,1,1,0,0,0,1,0,0,0,0,0,0
ENSG00000236743,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236601,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237094,4,7,7,3,3,5,6,2,12,5,3,1
ENSG00000269732,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000278566,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224813,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000233653,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000250575,0,2,2,0,2,2,1,0,0,1,0,1
ENSG00000278757,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230021,7,9,4,3,4,3,4,2,0,1,3,4
ENSG00000235146,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000225972,44,60,31,59,24,32,28,23,43,42,39,33
ENSG00000225630,241,446,263,453,212,221,261,189,276,286,273,246
ENSG00000237973,1689,3561,1781,3259,1450,1426,2221,1612,2411,2675,2259,2268
ENSG00000278791,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229344,38,110,46,81,32,38,39,31,52,78,65,44
ENSG00000240409,5,18,2,14,8,5,12,2,10,4,14,16
ENSG00000248527,12977,27617,15689,28723,13990,11642,15434,11472,17402,18407,18031,15509
ENSG00000198744,24,63,42,53,29,21,22,25,37,29,30,29
ENSG00000268663,0,0,0,0,0,0,0,0,0,0,0,1
ENSG00000273547,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283574,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000229376,1,0,0,0,0,1,2,4,1,0,0,1
ENSG00000228327,35,50,33,26,44,29,40,33,26,24,18,21
ENSG00000223181,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229905,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237491,7,20,6,14,14,18,14,17,7,9,8,7
ENSG00000230092,6,2,2,1,0,3,5,0,2,0,0,0
ENSG00000177757,1,1,0,1,1,2,0,0,0,1,0,0
ENSG00000228794,225,317,178,225,198,202,275,245,197,151,150,162
ENSG00000225880,49,70,55,61,46,49,72,54,40,43,48,67
ENSG00000230368,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000234711,0,1,0,0,0,0,0,0,0,0,0,1
ENSG00000283040,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272438,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000230699,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000241180,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223764,2,2,0,0,2,0,0,1,0,1,4,2
ENSG00000187634,17,17,9,22,18,17,5,17,10,18,13,10
ENSG00000188976,7839,11346,7626,8675,6271,7373,8032,7008,7199,6960,6775,6142
ENSG00000187961,263,359,199,226,171,193,259,185,167,207,180,176
ENSG00000187583,123,213,105,110,84,100,133,87,95,93,98,73
ENSG00000187642,85,105,74,74,61,70,58,59,47,71,67,49
ENSG00000272512,21,16,12,15,12,15,28,20,19,19,17,17
ENSG00000188290,499,760,554,503,425,475,607,455,456,524,492,439
ENSG00000187608,370,554,405,371,326,336,375,349,306,320,347,332
ENSG00000231702,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224969,1,0,1,0,0,0,2,0,0,2,0,0
ENSG00000188157,10553,15304,10261,9626,8664,9519,12728,10330,6728,6474,6457,6186
ENSG00000242590,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000217801,56,86,43,63,50,45,54,55,39,39,57,46
ENSG00000273443,5,12,2,4,4,4,13,5,4,3,3,4
ENSG00000237330,0,1,0,0,1,0,0,0,0,3,1,1
ENSG00000131591,314,432,284,247,208,215,278,254,213,216,184,204
ENSG00000223823,4,2,3,2,3,7,1,4,0,2,3,3
ENSG00000207730,0,0,0,2,1,1,0,0,0,0,0,0
